Municipality_final,CBS_code,Province,Population,Area,Density,Avg_Annual_Income,Med_Annual_Income,Road_Length,Cycling_Road
Hardenberg,160,Overijssel,61798,312.26,198,32.8,30.2,1076,1066.4
Harderwijk,243,Gelderland,48857,38.82,1255,33.7,30.7,277,353.9
Hardinxveld-Giessendam,523,South Holland,18511,16.66,1098,34.3,31.1,96,110.5
Harlingen,72,Friesland,15904,24.46,637,29.7,26.7,144,147.7
Hattem,244,Gelderland,12307,23.37,533,35.8,31.7,124,127.2
Heemskerk,396,North Holland,39189,27.77,1437,34.1,31.5,190,206.5
Heerde,246,Gelderland,18976,78.85,242,34.5,31.2,269,330.6
Heerenveen,74,Friesland,51119,189.97,269,32.4,29,622,655.3
Heerlen,917,Limburg,86845,44.41,1934,27.8,25.1,473,476.7
Heeze-Leende,1658,North Brabant,16470,103.32,158,39.3,35.2,241,296.5
Heiloo,399,North Holland,24417,18.81,1305,38.8,34.7,142,162.1
Hellendoorn,163,Overijssel,35940,137.73,261,33.3,30.5,527,567
Hendrik-Ido-Ambacht,531,South Holland,31663,10.09,3108,37.1,33.8,133,145.3
Hengelo,164,Overijssel,81476,60.04,1339,31.5,28.8,530,613.6
Heumen,252,Gelderland,17175,39.93,432,38,33.9,189,214.7
Heusden,797,North Brabant,45557,78.86,578,35.5,32,359,396.8
Hilvarenbeek,798,North Brabant,15810,94.47,167,37.5,34.5,289,306.6
Hilversum,402,North Holland,91733,45.58,2013,36.7,31.2,339,440.8
Hoeksche Waard,1963,South Holland,88715,268.84,330,37.1,33.3,912,928.2
Hoogeveen,118,Drenthe,55857,127.74,438,30.4,27.9,518,580.8
Horst aan de Maas,1507,Limburg,43039,188.87,228,34.7,31.5,715,777.9
Kaag en Braassem,1884,South Holland,27895,63.33,442,38.3,33.5,234,221.4
Kapelle,678,Zeeland,13020,37.73,351,34.9,32.4,191,212.8
Koggenland,1598,North Holland,23048,80.06,287,36.3,33.4,251,240.6
Land van Cuijk,1982,North Brabant,90707,341.16,266,34.8,31.4,1359,1513
Lansingerland,1621,South Holland,64110,53.37,1203,40.9,36.5,393,461.5
Laren,417,North Holland,11528,12.21,929,55.6,38.6,93,101.4
Leeuwarden,80,Friesland,125504,237.75,528,30,27.4,975,1025.3
Leiderdorp,547,South Holland,27464,11.1,2389,36.8,33.7,115,132.9
Leidschendam-Voorburg,1916,South Holland,76659,32.21,2351,37.1,32.5,254,291.3
Lelystad,995,Flevoland,81214,229,355,31.5,28.9,737,853.6
Leudal,1640,Limburg,35928,162.21,221,35,31.7,683,708.5
Leusden,327,Utrecht,30713,58.81,525,38.7,34.7,213,231.7
Lingewaard,1705,Gelderland,46963,61.16,758,34.4,31.8,356,418.1
Lisse,553,South Holland,23015,15.5,1466,35.4,31.9,96,112.8
Losser,168,Overijssel,23084,98.84,234,33,29.7,374,391.9
Maasdriel,263,Gelderland,25504,65.58,387,35.9,31.4,291,313.6
Maasgouw,1641,Limburg,24028,45.5,526,34.6,31.5,315,314.4
Maashorst,1991,North Brabant,58362,137.73,425,34.7,31.2,634,678.1
Maastricht,935,Limburg,121151,55.59,2172,31.3,26.8,569,627.2
Medemblik,420,North Holland,45464,121.13,375,34.5,31.1,406,431.6
Meerssen,938,Limburg,18581,26.63,695,35.9,32.3,177,190.3
Meierijstad,1948,North Brabant,82613,184,449,35.7,32,949,1008.5
Meppel,119,Drenthe,34761,55.5,626,32.4,29.6,292,289.2
Middelburg,687,Zeeland,49199,48.88,1017,32.7,29.8,370,361.6
Midden-Delfland,1842,South Holland,19484,47.79,413,41.2,36,169,193
Midden-Delfland,1731,Drenthe,33689,340.02,99,41.2,36,169,193
Moerdijk,1709,North Brabant,37313,159.97,234,34.5,31.5,577,537
Montferland,1955,Gelderland,36359,105.5,344,32.6,29.8,462,476.8
Nieuwegein,356,Utrecht,64554,23.32,2757,33.2,31.1,306,360.1
Nijkerk,267,Gelderland,44311,69.92,639,36.2,32.6,333,387.2
Nijmegen,268,Gelderland,179100,52.21,3392,31.3,27.8,664,754.5
Noord-Beveland,1695,Zeeland,7668,86,89,34,30.4,324,334.1
Noordoostpolder,171,Flevoland,48048,458.89,105,32.9,29.9,818,861.6
Nunspeet,302,Gelderland,28223,128.83,219,34.2,30.4,334,403.2
